Date,Bronx,Brooklyn,Citywide,Manhattan,Queens,Staten Island,(blank),Grand Total
7/23/14,,,,1,,,1,2
7/24/14,,1,,1,1,,,3
7/25/14,1,1,,,,,,2
7/26/14,,,,,1,,,1
7/28/14,1,,,,,,,1
7/29/14,2,1,,4,,,2,9
7/30/14,1,1,,1,,1,,4
7/31/14,,,,2,,,2,4
8/1/14,,1,,3,,,,4
8/3/14,,1,,,,,,1
8/4/14,,1,,,,1,,2
8/5/14,2,1,,3,,,,6
8/6/14,,1,,1,,1,1,4
8/7/14,1,1,,1,,,3,6
8/8/14,,,,,,,1,1
8/9/14,,,,,,,1,1
8/11/14,,,,1,,,1,2
8/12/14,,2,,,,,,2
8/13/14,,1,,1,1,,,3
8/14/14,,,,,1,,1,2
8/15/14,,1,,,,,,1
8/16/14,,1,,,,,,1
8/18/14,,1,,2,,,1,4
8/20/14,,1,,1,,,,2
8/21/14,1,1,,3,,,,5
8/23/14,,,,1,,,,1
8/24/14,,1,,,,,,1
8/25/14,,1,,2,,,,3
8/26/14,,,,1,,,,1
8/27/14,1,,,,,,,1
8/28/14,,,,,,,2,2
8/29/14,,1,,1,,,,2
8/30/14,,,,1,,,,1
8/31/14,1,,,1,,,2,4
9/1/14,,,,1,,,,1
9/2/14,,,,1,,,,1
9/6/14,1,,,,,,,1
9/8/14,,,,3,,,,3
9/9/14,,,,,1,,,1
9/10/14,1,,,,,,1,2
9/11/14,,,,,,,1,1
9/12/14,1,,,1,,,1,3
9/14/14,1,,,,,,,1
9/15/14,,1,,,1,1,2,5
9/16/14,,,,1,,,,1
9/17/14,,,,1,,1,,2
9/18/14,,,,,1,,,1
9/19/14,,1,,,,,,1
9/20/14,,1,,1,1,,1,4
9/21/14,,,,2,,,,2
9/24/14,1,1,,,,,,2
9/25/14,,,,3,,,,3
9/26/14,,,,1,,,,1
9/27/14,,,,,,,1,1
9/29/14,,,,1,,,2,3
9/30/14,1,,,,,,,1
10/1/14,,1,,1,2,,1,5
10/3/14,,,,,,,2,2
10/4/14,,,,,2,,,2
10/6/14,,,,1,1,,1,3
10/7/14,,,,2,,,2,4
10/8/14,,,,5,1,,2,8
10/9/14,,,,1,1,,,2
10/10/14,,1,,2,,,1,4
10/12/14,1,,,,,,,1
10/13/14,,2,,1,,,2,5
10/14/14,,1,,,1,,2,4
10/15/14,1,2,,,1,,,4
10/16/14,,,,1,,,,1
10/17/14,,,,1,,,1,2
10/18/14,,,,,1,,3,4
10/20/14,,,,,,,2,2
10/21/14,1,1,,3,,,,5
10/22/14,,1,,,,,1,2
10/23/14,1,1,,1,1,,,4
10/24/14,,,,,1,,1,2
10/25/14,,,,,,,1,1
10/26/14,,,,1,,,,1
10/27/14,1,,,3,,,,4
10/28/14,,,,,1,,,1
10/29/14,,,,1,1,1,,3
10/30/14,,,,2,,,2,4
10/31/14,,1,,,,,,1
11/1/14,,,,1,,,,1
11/2/14,,4,,1,,,2,7
11/3/14,,,,,,1,,1
11/4/14,,,,1,,,1,2
11/5/14,2,2,,1,,1,1,7
11/6/14,1,1,,,2,,,4
11/7/14,,1,,1,,,1,3
11/9/14,,1,,1,,,,2
